"","p1","p2","rep","y","cross","ENV"
"1",1,1,"rep1",3,"cr1",1
"2",1,1,"rep2",4,"cr1",1
"3",1,1,"rep3",3,"cr1",1
"4",1,2,"rep1",6,"cr2",1
"5",1,2,"rep2",6,"cr2",1
"6",1,2,"rep3",5,"cr2",1
"7",1,3,"rep1",7,"cr3",1
"8",1,3,"rep2",7,"cr3",1
"9",1,3,"rep3",8,"cr3",1
"10",1,4,"rep1",7,"cr4",1
"11",1,4,"rep2",6,"cr4",1
"12",1,4,"rep3",6,"cr4",1
"13",1,5,"rep1",8,"cr5",1
"14",1,5,"rep2",7,"cr5",1
"15",1,5,"rep3",7,"cr5",1
"16",1,6,"rep1",10,"cr6",1
"17",1,6,"rep2",9,"cr6",1
"18",1,6,"rep3",10,"cr6",1
"19",2,1,"rep1",3,"cr7",1
"20",2,1,"rep2",4,"cr7",1
"21",2,1,"rep3",5,"cr7",1
"22",2,2,"rep1",6,"cr8",1
"23",2,2,"rep2",8,"cr8",1
"24",2,2,"rep3",6,"cr8",1
"25",2,3,"rep1",4,"cr9",1
"26",2,3,"rep2",6,"cr9",1
"27",2,3,"rep3",4,"cr9",1
"28",2,4,"rep1",3,"cr10",1
"29",2,4,"rep2",2,"cr10",1
"30",2,4,"rep3",3,"cr10",1
"31",2,5,"rep1",5,"cr11",1
"32",2,5,"rep2",6,"cr11",1
"33",2,5,"rep3",6,"cr11",1
"34",2,6,"rep1",8,"cr12",1
"35",2,6,"rep2",7,"cr12",1
"36",2,6,"rep3",7,"cr12",1
"37",3,1,"rep1",9,"cr13",1
"38",3,1,"rep2",9,"cr13",1
"39",3,1,"rep3",8,"cr13",1
"40",3,2,"rep1",10,"cr14",1
"41",3,2,"rep2",12,"cr14",1
"42",3,2,"rep3",10,"cr14",1
"43",3,3,"rep1",8,"cr15",1
"44",3,3,"rep2",9,"cr15",1
"45",3,3,"rep3",9,"cr15",1
"46",3,4,"rep1",8,"cr16",1
"47",3,4,"rep2",8,"cr16",1
"48",3,4,"rep3",7,"cr16",1
"49",3,5,"rep1",12,"cr17",1
"50",3,5,"rep2",11,"cr17",1
"51",3,5,"rep3",10,"cr17",1
"52",3,6,"rep1",12,"cr18",1
"53",3,6,"rep2",14,"cr18",1
"54",3,6,"rep3",15,"cr18",1
"55",4,1,"rep1",3,"cr19",1
"56",4,1,"rep2",4,"cr19",1
"57",4,1,"rep3",5,"cr19",1
"58",4,2,"rep1",4,"cr20",1
"59",4,2,"rep2",6,"cr20",1
"60",4,2,"rep3",6,"cr20",1
"61",4,3,"rep1",4,"cr21",1
"62",4,3,"rep2",5,"cr21",1
"63",4,3,"rep3",3,"cr21",1
"64",4,4,"rep1",2,"cr22",1
"65",4,4,"rep2",3,"cr22",1
"66",4,4,"rep3",3,"cr22",1
"67",4,5,"rep1",6,"cr23",1
"68",4,5,"rep2",5,"cr23",1
"69",4,5,"rep3",5,"cr23",1
"70",4,6,"rep1",8,"cr24",1
"71",4,6,"rep2",7,"cr24",1
"72",4,6,"rep3",8,"cr24",1
"73",5,1,"rep1",9,"cr25",1
"74",5,1,"rep2",10,"cr25",1
"75",5,1,"rep3",11,"cr25",1
"76",5,2,"rep1",9,"cr26",1
"77",5,2,"rep2",9,"cr26",1
"78",5,2,"rep3",6,"cr26",1
"79",5,3,"rep1",7,"cr27",1
"80",5,3,"rep2",8,"cr27",1
"81",5,3,"rep3",7,"cr27",1
"82",5,4,"rep1",12,"cr28",1
"83",5,4,"rep2",14,"cr28",1
"84",5,4,"rep3",14,"cr28",1
"85",5,5,"rep1",10,"cr29",1
"86",5,5,"rep2",9,"cr29",1
"87",5,5,"rep3",12,"cr29",1
"88",5,6,"rep1",14,"cr30",1
"89",5,6,"rep2",16,"cr30",1
"90",5,6,"rep3",17,"cr30",1
"91",6,1,"rep1",16,"cr31",1
"92",6,1,"rep2",16,"cr31",1
"93",6,1,"rep3",12,"cr31",1
"94",6,2,"rep1",18,"cr32",1
"95",6,2,"rep2",18,"cr32",1
"96",6,2,"rep3",22,"cr32",1
"97",6,3,"rep1",18,"cr33",1
"98",6,3,"rep2",16,"cr33",1
"99",6,3,"rep3",14,"cr33",1
"100",6,4,"rep1",20,"cr34",1
"101",6,4,"rep2",24,"cr34",1
"102",6,4,"rep3",19,"cr34",1
"103",6,5,"rep1",21,"cr35",1
"104",6,5,"rep2",20,"cr35",1
"105",6,5,"rep3",20,"cr35",1
"106",6,6,"rep1",9,"cr36",1
"107",6,6,"rep2",9,"cr36",1
"108",6,6,"rep3",9,"cr36",1
